Rank,Release Group,Worldwide,Domestic,%,Foreign,%,Year
1,Avatar: The Way of Water,"$2,320,250,281","$684,075,767",29.5%,"$1,636,174,514",70.5%,2022
2,Top Gun: Maverick,"$1,495,696,292","$718,732,821",48.1%,"$776,963,471",51.9%,2022
3,Jurassic World Dominion,"$1,001,978,080","$376,851,080",37.6%,"$625,127,000",62.4%,2022
4,Doctor Strange in the Multiverse of Madness,"$955,775,804","$411,331,607",43%,"$544,444,197",57%,2022
5,Minions: The Rise of Gru,"$939,628,210","$369,695,210",39.3%,"$569,933,000",60.7%,2022
6,Black Panther: Wakanda Forever,"$859,208,836","$453,829,060",52.8%,"$405,379,776",47.2%,2022
7,The Batman,"$772,245,583","$369,345,583",47.8%,"$402,900,000",52.2%,2022
8,Thor: Love and Thunder,"$760,928,081","$343,256,830",45.1%,"$417,671,251",54.9%,2022
9,Water Gate Bridge,"$626,571,697","$117,294",<0.1%,"$626,454,403",100%,2022
10,Puss in Boots: The Last Wish,"$481,079,705","$185,535,345",38.6%,"$295,544,360",61.4%,2022
11,Moon Man,"$460,237,662",-,-,"$460,237,662",100%,2022
12,Fantastic Beasts: The Secrets of Dumbledore,"$407,150,844","$95,850,844",23.5%,"$311,300,000",76.5%,2022
13,Uncharted,"$407,141,258","$148,648,820",36.5%,"$258,492,438",63.5%,2022
14,Sonic the Hedgehog 2,"$405,421,518","$190,872,904",47.1%,"$214,548,614",52.9%,2022
15,Black Adam,"$393,252,111","$168,152,111",42.8%,"$225,100,000",57.2%,2022
16,Elvis,"$287,740,048","$151,040,048",52.5%,"$136,700,000",47.5%,2022
17,The Bad Guys,"$250,162,278","$97,233,630",38.9%,"$152,928,648",61.1%,2022
18,Bullet Train,"$239,268,602","$103,368,602",43.2%,"$135,900,000",56.8%,2022
19,Lightyear,"$226,425,420","$118,307,188",52.2%,"$108,118,232",47.8%,2022
20,Smile,"$217,408,513","$105,935,048",48.7%,"$111,473,465",51.3%,2022
21,Too Cool to Kill,"$217,254,604","$185,882",<0.1%,"$217,068,722",99.9%,2022
22,Nice View,"$211,019,042",-,-,"$211,019,042",100%,2022
23,DC League of Super-Pets,"$207,557,117","$93,657,117",45.1%,"$113,900,000",54.9%,2022
24,The Lost City,"$192,907,684","$105,344,029",54.6%,"$87,563,655",45.4%,2022
25,M3GAN,"$179,973,454","$95,043,350",52.8%,"$84,930,104",47.2%,2022
26,Suzume,"$175,492,224","$10,932,037",6.2%,"$164,560,187",93.8%,2022
27,Nope,"$171,235,592","$123,277,080",72%,"$47,958,512",28%,2022
28,One Piece Film: Red,"$169,184,590","$12,775,324",7.6%,"$156,409,266",92.4%,2022
29,Ticket to Paradise,"$168,767,479","$68,275,985",40.5%,"$100,491,494",59.5%,2022
30,Morbius,"$167,460,961","$73,865,530",44.1%,"$93,595,431",55.9%,2022
31,RRR,"$165,955,146","$14,500,000",8.7%,"$151,455,146",91.3%,2022
32,The Black Phone,"$161,440,742","$90,123,230",55.8%,"$71,317,512",44.2%,2022
33,The First Slam Dunk,"$152,408,567","$1,291,869",0.8%,"$151,116,698",99.2%,2022
34,Where the Crawdads Sing,"$144,353,965","$90,230,760",62.5%,"$54,123,205",37.5%,2022
35,Everything Everywhere All at Once,"$139,400,280","$77,191,785",55.4%,"$62,208,495",44.6%,2022
36,Scream,"$137,743,924","$81,641,405",59.3%,"$56,102,519",40.7%,2022
37,Death on the Nile,"$137,307,235","$45,630,104",33.2%,"$91,677,131",66.8%,2022
38,A Man Called Otto,"$113,190,218","$64,267,657",56.8%,"$48,922,561",43.2%,2022
39,"Lyle, Lyle, Crocodile","$110,999,085","$46,888,441",42.2%,"$64,110,644",57.8%,2022
40,Halloween Ends,"$104,362,940","$64,079,860",61.4%,"$40,283,080",38.6%,2022
41,The Roundup,"$101,166,707","$812,859",0.8%,"$100,353,848",99.2%,2022
42,The Woman King,"$93,279,806","$67,328,130",72.2%,"$25,951,676",27.8%,2022
43,Downton Abbey: A New Era,"$92,651,384","$44,141,550",47.6%,"$48,509,834",52.4%,2022
44,K.G.F: Chapter 2,"$89,123,940","$2,874,000",3.2%,"$86,249,940",96.8%,2022
45,Don't Worry Darling,"$87,609,403","$45,309,403",51.7%,"$42,300,000",48.3%,2022
46,Dragon Ball Super: Super Hero,"$86,562,140","$38,112,140",44%,"$48,450,000",56%,2022
47,Dog,"$84,774,243","$61,778,069",72.9%,"$22,996,174",27.1%,2022
48,Jackass Forever,"$80,563,999","$57,743,451",71.7%,"$22,820,548",28.3%,2022
49,The Menu,"$79,628,200","$38,501,125",48.4%,"$41,127,075",51.6%,2022
50,Chebi: My Fluffy Friend,"$76,453,705",-,-,"$76,453,705",100%,2022
51,Avatar 2022  Re-release,"$76,012,917","$24,714,024",32.5%,"$51,298,893",67.5%,2022
52,Violent Night,"$76,004,405","$50,057,405",65.9%,"$25,947,000",34.1%,2022
