URLs,Subdirectories
https://www.nfl.com/news/nfl-power-rankings-week-12-2023-nfl-season,"['', 'news', 'nfl-power-rankings-week-12-2023-nfl-season']"
https://www.nfl.com/news/steelers-fire-offensive-coordinator-matt-canada-amid-fourth-season-with-team,"['', 'news', 'steelers-fire-offensive-coordinator-matt-canada-amid-fourth-season-with-team']"
https://www.nfl.com/news/jalen-carter-nearly-intercepted-patrick-mahomes-spike-in-eagles-win-over-chiefs,"['', 'news', 'jalen-carter-nearly-intercepted-patrick-mahomes-spike-in-eagles-win-over-chiefs']"
https://www.nfl.com/news/patrick-mahomes-on-loss-to-eagles-simple-as-we-just-have-to-get-better,"['', 'news', 'patrick-mahomes-on-loss-to-eagles-simple-as-we-just-have-to-get-better']"
https://www.nfl.com/news/eagles-hc-nick-sirianni-applauds-team-s-gritty-grimy-nasty-win-over-chiefs-on-mo,"['', 'news', 'eagles-hc-nick-sirianni-applauds-team-s-gritty-grimy-nasty-win-over-chiefs-on-mo']"
https://www.nfl.com/news/2024-nfl-draft-order-week-12-2023-nfl-season,"['', 'news', '2024-nfl-draft-order-week-12-2023-nfl-season']"
https://www.nfl.com/news/2023-nfl-season-week-11-what-we-learned-from-eagles-win-over-chiefs-on-monday-ni,"['', 'news', '2023-nfl-season-week-11-what-we-learned-from-eagles-win-over-chiefs-on-monday-ni']"
https://www.nfl.com/news/travis-kelce-moves-into-fifth-place-for-most-receiving-tds-by-a-tight-end,"['', 'news', 'travis-kelce-moves-into-fifth-place-for-most-receiving-tds-by-a-tight-end']"
https://www.nfl.com/news/week-11-monday-inactives-philadelphia-eagles-at-kansas-city-chiefs,"['', 'news', 'week-11-monday-inactives-philadelphia-eagles-at-kansas-city-chiefs']"
https://www.nfl.com/news/chargers-lb-joey-bosa-likely-headed-to-injured-reserve-with-foot-sprain,"['', 'news', 'chargers-lb-joey-bosa-likely-headed-to-injured-reserve-with-foot-sprain']"
https://www.nfl.com/news/broncos-s-kareem-jackson-suspended-second-time-for-repeated-violations-of-player,"['', 'news', 'broncos-s-kareem-jackson-suspended-second-time-for-repeated-violations-of-player']"
https://www.nfl.com/news/nfl-fantasy-football-podcast-week-11-recap,"['', 'news', 'nfl-fantasy-football-podcast-week-11-recap']"
https://www.nfl.com/news/move-the-sticks-breaking-down-the-big-week-11-games,"['', 'news', 'move-the-sticks-breaking-down-the-big-week-11-games']"
https://www.nfl.com/news/ravens-hc-john-harbaugh-says-outside-chance-mark-andrews-ankle-can-return-this-s,"['', 'news', 'ravens-hc-john-harbaugh-says-outside-chance-mark-andrews-ankle-can-return-this-s']"
https://www.nfl.com/news/seahawks-hc-pete-carroll-optimistic-geno-smith-elbow-will-play-thursday-vs-49ers,"['', 'news', 'seahawks-hc-pete-carroll-optimistic-geno-smith-elbow-will-play-thursday-vs-49ers']"
https://www.nfl.com/news/49ers-safety-talanoa-hufanga-will-miss-rest-of-2023-season-after-suffering-torn-,"['', 'news', '49ers-safety-talanoa-hufanga-will-miss-rest-of-2023-season-after-suffering-torn-']"
https://www.nfl.com/news/jets-qb-tim-boyle-to-start-over-zach-wilson-vs-dolphins,"['', 'news', 'jets-qb-tim-boyle-to-start-over-zach-wilson-vs-dolphins']"
https://www.nfl.com/news/2023-nfl-fantasy-football-waiver-wire-week-12-rb-zach-charbonnet-te-isaiah-likel,"['', 'news', '2023-nfl-fantasy-football-waiver-wire-week-12-rb-zach-charbonnet-te-isaiah-likel']"
https://www.nfl.com/news/nfl-news-roundup-latest-league-updates-from-monday-nov-20,"['', 'news', 'nfl-news-roundup-latest-league-updates-from-monday-nov-20']"
https://www.nfl.com/news/texans-qb-c-j-stroud-after-three-int-day-steph-curry-don-t-ever-stop-shooting-i-,"['', 'news', 'texans-qb-c-j-stroud-after-three-int-day-steph-curry-don-t-ever-stop-shooting-i-']"
https://www.nfl.com/news/cowboys-cb-daron-bland-aims-to-break-single-season-pick-six-record-after-earning,"['', 'news', 'cowboys-cb-daron-bland-aims-to-break-single-season-pick-six-record-after-earning']"
https://www.nfl.com/news/the-first-read-one-thing-each-nfl-team-has-to-be-thankful-for-entering-week-12,"['', 'news', 'the-first-read-one-thing-each-nfl-team-has-to-be-thankful-for-entering-week-12']"
https://www.nfl.com/news/49ers-qb-brock-purdy-not-completely-content-with-perfect-passer-rating-in-win-ov,"['', 'news', '49ers-qb-brock-purdy-not-completely-content-with-perfect-passer-rating-in-win-ov']"
https://www.nfl.com/news/rb-najee-harris-on-steelers-offensive-issues-i-m-just-at-a-point-where-i-m-just,"['', 'news', 'rb-najee-harris-on-steelers-offensive-issues-i-m-just-at-a-point-where-i-m-just']"
https://www.nfl.com/news/nfl-stats-and-records-week-11-bills-josh-allen-sets-td-mark-through-six-seasons-,"['', 'news', 'nfl-stats-and-records-week-11-bills-josh-allen-sets-td-mark-through-six-seasons-']"
https://www.nfl.com/news/separation-season-who-s-moving-up-down-in-playoff-race,"['', 'news', 'separation-season-who-s-moving-up-down-in-playoff-race']"
https://www.nfl.com/news/jets-hc-robert-saleh-declines-to-name-week-12-starting-qb-after-benching-zach-wi,"['', 'news', 'jets-hc-robert-saleh-declines-to-name-week-12-starting-qb-after-benching-zach-wi']"
https://www.nfl.com/news/browns-set-to-sign-veteran-qb-joe-flacco-to-practice-squad,"['', 'news', 'browns-set-to-sign-veteran-qb-joe-flacco-to-practice-squad']"
https://www.nfl.com/news/chargers-hc-brandon-staley-defends-his-defensive-play-calling-in-wake-of-23-20-l,"['', 'news', 'chargers-hc-brandon-staley-defends-his-defensive-play-calling-in-wake-of-23-20-l']"
https://www.nfl.com/news/lions-qb-jared-goff-shrugs-off-boos-three-ints-to-lead-comeback-win-over-bears,"['', 'news', 'lions-qb-jared-goff-shrugs-off-boos-three-ints-to-lead-comeback-win-over-bears']"
https://www.nfl.com/news/geno-smith-exits-game-vs-rams-after-suffering-elbow-injury,"['', 'news', 'geno-smith-exits-game-vs-rams-after-suffering-elbow-injury']"
https://www.nfl.com/news/2023-nfl-season-week-11-what-we-learned-from-sunday-s-games,"['', 'news', '2023-nfl-season-week-11-what-we-learned-from-sunday-s-games']"
