URLs,Subdirectories
https://www.nfl.com/news/justin-blackmon-s-blood-alcohol-was-three-times-limit-09000d5d8298b223,"['', 'news', 'justin-blackmon-s-blood-alcohol-was-three-times-limit-09000d5d8298b223']"
https://www.nfl.com/news/blackmon-s-arrest-triggers-bad-memories-for-jaguars-09000d5d8298afb4,"['', 'news', 'blackmon-s-arrest-triggers-bad-memories-for-jaguars-09000d5d8298afb4']"
https://www.nfl.com/news/matt-ryan-needs-to-deliver-for-falcons-in-playoffs-09000d5d8298af0d,"['', 'news', 'matt-ryan-needs-to-deliver-for-falcons-in-playoffs-09000d5d8298af0d']"
https://www.nfl.com/news/two-tight-end-formations-will-hit-nfl-by-storm-in-2012-09000d5d8298aeb2,"['', 'news', 'two-tight-end-formations-will-hit-nfl-by-storm-in-2012-09000d5d8298aeb2']"
https://www.nfl.com/news/ndamukong-suh-hopes-to-put-last-season-behind-him-09000d5d8298abee,"['', 'news', 'ndamukong-suh-hopes-to-put-last-season-behind-him-09000d5d8298abee']"
https://www.nfl.com/news/jonathan-vilma-still-wants-proof-of-saints-bounties-09000d5d8298aa1a,"['', 'news', 'jonathan-vilma-still-wants-proof-of-saints-bounties-09000d5d8298aa1a']"
https://www.nfl.com/news/report-dolphins-mull-2013-franchise-tag-for-jake-long-09000d5d8298a7b0,"['', 'news', 'report-dolphins-mull-2013-franchise-tag-for-jake-long-09000d5d8298a7b0']"
https://www.nfl.com/news/jaguars-justin-blackmon-arrested-for-aggravated-dui-09000d5d8298a45e,"['', 'news', 'jaguars-justin-blackmon-arrested-for-aggravated-dui-09000d5d8298a45e']"
https://www.nfl.com/news/adrian-peterson-wants-to-return-by-vikings-opener-09000d5d8298a2fc,"['', 'news', 'adrian-peterson-wants-to-return-by-vikings-opener-09000d5d8298a2fc']"
https://www.nfl.com/news/shonn-greene-expects-to-play-big-role-in-jets-offense-09000d5d8298a1a5,"['', 'news', 'shonn-greene-expects-to-play-big-role-in-jets-offense-09000d5d8298a1a5']"
https://www.nfl.com/news/mike-tolbert-signed-with-panthers-to-return-to-south-09000d5d82989ecf,"['', 'news', 'mike-tolbert-signed-with-panthers-to-return-to-south-09000d5d82989ecf']"
https://www.nfl.com/news/bengals-hoping-to-develop-a-j-green-s-route-running-09000d5d82989c65,"['', 'news', 'bengals-hoping-to-develop-a-j-green-s-route-running-09000d5d82989c65']"
https://www.nfl.com/news/darren-sproles-still-not-satisfied-with-his-game-09000d5d82989aef,"['', 'news', 'darren-sproles-still-not-satisfied-with-his-game-09000d5d82989aef']"
https://www.nfl.com/news/aaron-rodgers-not-worried-about-future-with-packers-09000d5d829892d9,"['', 'news', 'aaron-rodgers-not-worried-about-future-with-packers-09000d5d829892d9']"
https://www.nfl.com/news/jason-babin-won-t-go-to-spain-to-run-with-bulls-09000d5d8298901d,"['', 'news', 'jason-babin-won-t-go-to-spain-to-run-with-bulls-09000d5d8298901d']"
https://www.nfl.com/news/jonathan-stewart-still-open-to-long-term-deal-with-panthers-09000d5d82988e06,"['', 'news', 'jonathan-stewart-still-open-to-long-term-deal-with-panthers-09000d5d82988e06']"
https://www.nfl.com/news/quentin-jammer-dogged-by-personal-issues-in-2011-09000d5d82988c20,"['', 'news', 'quentin-jammer-dogged-by-personal-issues-in-2011-09000d5d82988c20']"
