URLs,Subdirectories
https://www.nfl.com/prospects/trevor-lawrence/32004c41-5751-4099-56fc-f565c8d26c06,"['', 'prospects', 'trevor-lawrence', '32004c41-5751-4099-56fc-f565c8d26c06']"
https://www.nfl.com/prospects/kyle-pitts/32005049-5451-6805-5aec-d4afcbd52e25,"['', 'prospects', 'kyle-pitts', '32005049-5451-6805-5aec-d4afcbd52e25']"
https://www.nfl.com/prospects/devonta-smith/3200534d-4920-6016-573c-fcc767bafc4d,"['', 'prospects', 'devonta-smith', '3200534d-4920-6016-573c-fcc767bafc4d']"
https://www.nfl.com/prospects/ja'marr-chase/32004348-4169-4469-b021-d2c20a7d7cf5,"['', 'prospects', ""ja'marr-chase"", '32004348-4169-4469-b021-d2c20a7d7cf5']"
https://www.nfl.com/prospects/patrick-surtain-iI/32005355-5263-4187-d85c-9784fc0a886b,"['', 'prospects', 'patrick-surtain-iI', '32005355-5263-4187-d85c-9784fc0a886b']"
https://www.nfl.com/prospects/micah-parsons/32005041-5275-3418-9a2d-9826287ee445,"['', 'prospects', 'micah-parsons', '32005041-5275-3418-9a2d-9826287ee445']"
https://www.nfl.com/prospects/jeremiah-owusu-koramoah/32004f57-5560-4524-4478-5c5967f00096,"['', 'prospects', 'jeremiah-owusu-koramoah', '32004f57-5560-4524-4478-5c5967f00096']"
https://www.nfl.com/prospects/jaylen-waddle/32005741-4408-8683-c826-c882ad6fd5c2,"['', 'prospects', 'jaylen-waddle', '32005741-4408-8683-c826-c882ad6fd5c2']"
https://www.nfl.com/prospects/penei-sewell/32005345-5747-8214-9180-519633263ceb,"['', 'prospects', 'penei-sewell', '32005345-5747-8214-9180-519633263ceb']"
https://www.nfl.com/prospects/travis-etienne/32004554-4942-6541-8c54-a69299f0a040,"['', 'prospects', 'travis-etienne', '32004554-4942-6541-8c54-a69299f0a040']"
https://www.nfl.com/prospects/christian-barmore/32004241-5222-1986-2e4d-591c93c5c3cf,"['', 'prospects', 'christian-barmore', '32004241-5222-1986-2e4d-591c93c5c3cf']"
https://www.nfl.com/prospects/rashawn-slater/3200534c-4144-1272-10c5-fd1a6fe0f889,"['', 'prospects', 'rashawn-slater', '3200534c-4144-1272-10c5-fd1a6fe0f889']"
https://www.nfl.com/prospects/zach-wilson/32005749-4c82-7119-d27e-724ec33f130b,"['', 'prospects', 'zach-wilson', '32005749-4c82-7119-d27e-724ec33f130b']"
https://www.nfl.com/prospects/trey-lance/32004c41-4e01-6787-f7d5-ee3cea053121,"['', 'prospects', 'trey-lance', '32004c41-4e01-6787-f7d5-ee3cea053121']"
https://www.nfl.com/prospects/jaycee-horn/3200484f-5212-3595-eabf-6f6f3cdddc40,"['', 'prospects', 'jaycee-horn', '3200484f-5212-3595-eabf-6f6f3cdddc40']"
https://www.nfl.com/prospects/najee-harris/32004841-5249-3163-f8f5-73c55f8a5c0d,"['', 'prospects', 'najee-harris', '32004841-5249-3163-f8f5-73c55f8a5c0d']"
https://www.nfl.com/prospects/christian-darrisaw/32004441-5268-2260-1da4-71998bd16533,"['', 'prospects', 'christian-darrisaw', '32004441-5268-2260-1da4-71998bd16533']"
https://www.nfl.com/prospects/justin-fields/32004649-4576-9504-963d-c33127e80752,"['', 'prospects', 'justin-fields', '32004649-4576-9504-963d-c33127e80752']"
https://www.nfl.com/prospects/jayson-oweh/32004f57-4501-2098-d88c-b6118c47c2f5,"['', 'prospects', 'jayson-oweh', '32004f57-4501-2098-d88c-b6118c47c2f5']"
https://www.nfl.com/prospects/alijah-vera-tucker/32005645-5202-7685-ef25-bd9d5bb57329,"['', 'prospects', 'alijah-vera-tucker', '32005645-5202-7685-ef25-bd9d5bb57329']"
