URLs,Subdirectories
https://www.nfl.com/prospects/siaosi-aiono/32462016-0002-5551-929f-e833ec3204f9,"['', 'prospects', 'siaosi-aiono', '32462016-0002-5551-929f-e833ec3204f9']"
https://www.nfl.com/prospects/dillon-farrell/32194641-5259-3556-554f-75ea3e4fabea,"['', 'prospects', 'dillon-farrell', '32194641-5259-3556-554f-75ea3e4fabea']"
https://www.nfl.com/prospects/xavien-howard/3219484f-5749-2325-c337-b01052c7002e,"['', 'prospects', 'xavien-howard', '3219484f-5749-2325-c337-b01052c7002e']"
https://www.nfl.com/prospects/tevin-mitchel/32194d49-5403-9284-3a90-24b2d0948d96,"['', 'prospects', 'tevin-mitchel', '32194d49-5403-9284-3a90-24b2d0948d96']"
https://www.nfl.com/prospects/tony-bridges/32462017-0002-5580-8874-1e93dd57a0b5,"['', 'prospects', 'tony-bridges', '32462017-0002-5580-8874-1e93dd57a0b5']"
https://www.nfl.com/prospects/jeremy-cutrer/32194355-5450-2170-dbdf-6e7f9c086b67,"['', 'prospects', 'jeremy-cutrer', '32194355-5450-2170-dbdf-6e7f9c086b67']"
https://www.nfl.com/prospects/cesar-ruiz/32195255-4941-5291-5447-fa1de6f9c62b,"['', 'prospects', 'cesar-ruiz', '32195255-4941-5291-5447-fa1de6f9c62b']"
https://www.nfl.com/prospects/tyler-biadasz/32194249-4108-3057-953e-8ece7a00c9d8,"['', 'prospects', 'tyler-biadasz', '32194249-4108-3057-953e-8ece7a00c9d8']"
https://www.nfl.com/prospects/lloyd-cushenberry/32194355-5318-1630-6286-472cca057e78,"['', 'prospects', 'lloyd-cushenberry', '32194355-5318-1630-6286-472cca057e78']"
https://www.nfl.com/prospects/jacob-hanson/32194841-4e66-8143-8a03-3cf5355d3153,"['', 'prospects', 'jacob-hanson', '32194841-4e66-8143-8a03-3cf5355d3153']"
https://www.nfl.com/prospects/nick-harris/32194841-5249-4038-a013-d8b883767b71,"['', 'prospects', 'nick-harris', '32194841-5249-4038-a013-d8b883767b71']"
https://www.nfl.com/prospects/matthew-hennessy/32194845-4e53-6731-faa4-c650075e5d1a,"['', 'prospects', 'matthew-hennessy', '32194845-4e53-6731-faa4-c650075e5d1a']"
https://www.nfl.com/prospects/keith-ismael/32194953-4d02-2913-6d8c-8800a2eb45b0,"['', 'prospects', 'keith-ismael', '32194953-4d02-2913-6d8c-8800a2eb45b0']"
https://www.nfl.com/prospects/dustin-woodard/3219574f-4f20-1766-512c-2ffdbcceb7b6,"['', 'prospects', 'dustin-woodard', '3219574f-4f20-1766-512c-2ffdbcceb7b6']"
https://www.nfl.com/prospects/austin-blythe/3219424c-5961-1687-a06c-7345068b7e5f,"['', 'prospects', 'austin-blythe', '3219424c-5961-1687-a06c-7345068b7e5f']"
https://www.nfl.com/prospects/russell-bodine/3219424f-4468-7689-bc0e-fc9e33095e84,"['', 'prospects', 'russell-bodine', '3219424f-4468-7689-bc0e-fc9e33095e84']"
https://www.nfl.com/prospects/evan-boehm/3219424f-4521-7532-ce93-f21a58593779,"['', 'prospects', 'evan-boehm', '3219424f-4521-7532-ce93-f21a58593779']"
https://www.nfl.com/prospects/luke-bowanko/3219424f-5701-6611-7b4f-28094048ec81,"['', 'prospects', 'luke-bowanko', '3219424f-5701-6611-7b4f-28094048ec81']"
https://www.nfl.com/prospects/garrett-bradbury/32194252-4109-2951-18e8-697b9ff5297c,"['', 'prospects', 'garrett-bradbury', '32194252-4109-2951-18e8-697b9ff5297c']"
https://www.nfl.com/prospects/cohl-cabral/32194341-4225-4799-1c8b-4dc47a2026ab,"['', 'prospects', 'cohl-cabral', '32194341-4225-4799-1c8b-4dc47a2026ab']"
https://www.nfl.com/prospects/trystan-colon-castillo/3219434f-4c74-7687-5343-cc39a681538c,"['', 'prospects', 'trystan-colon-castillo', '3219434f-4c74-7687-5343-cc39a681538c']"
https://www.nfl.com/prospects/jeffrey-dielman/32194449-4535-3490-3608-93d8d8e63fe5,"['', 'prospects', 'jeffrey-dielman', '32194449-4535-3490-3608-93d8d8e63fe5']"
https://www.nfl.com/prospects/patrick-elflein/3219454c-4617-7981-a93d-0e2331f21f60,"['', 'prospects', 'patrick-elflein', '3219454c-4617-7981-a93d-0e2331f21f60']"
https://www.nfl.com/prospects/cameron-erving/32194552-5628-8583-d854-14a2bec5e2b8,"['', 'prospects', 'cameron-erving', '32194552-5628-8583-d854-14a2bec5e2b8']"
https://www.nfl.com/prospects/kyle-fuller/32194655-4c36-0496-57b8-0bd6f3358ab7,"['', 'prospects', 'kyle-fuller', '32194655-4c36-0496-57b8-0bd6f3358ab7']"
https://www.nfl.com/prospects/lamont-gaillard/32194741-4905-9631-5fbe-822cdecf1a04,"['', 'prospects', 'lamont-gaillard', '32194741-4905-9631-5fbe-822cdecf1a04']"
https://www.nfl.com/prospects/andrew-gallik/32194741-4c63-4120-3a4b-bc1b0303b494,"['', 'prospects', 'andrew-gallik', '32194741-4c63-4120-3a4b-bc1b0303b494']"
