URLs,Subdirectories
https://www.nfl.com/videos/a-football-life-mike-holmgren-matt-hasselbeck-overcome-fiery-fights-to-br-281763,"['', 'videos', 'a-football-life-mike-holmgren-matt-hasselbeck-overcome-fiery-fights-to-br-281763']"
https://www.nfl.com/videos/a-football-life-former-nfl-coach-mike-holmgren-s-relationship-with-former-281759,"['', 'videos', 'a-football-life-former-nfl-coach-mike-holmgren-s-relationship-with-former-281759']"
https://www.nfl.com/videos/a-football-life-mike-holmgren-s-days-as-a-college-assistant-coach-281755,"['', 'videos', 'a-football-life-mike-holmgren-s-days-as-a-college-assistant-coach-281755']"
https://www.nfl.com/videos/a-football-life-former-nfl-head-coach-mike-holmgren-s-qbs-watch-his-high--281754,"['', 'videos', 'a-football-life-former-nfl-head-coach-mike-holmgren-s-qbs-watch-his-high--281754']"
https://www.nfl.com/videos/former-nfl-quarterback-peyton-manning-former-indianapolis-colts-congratul-281750,"['', 'videos', 'former-nfl-quarterback-peyton-manning-former-indianapolis-colts-congratul-281750']"
https://www.nfl.com/videos/pepsi-rookie-of-the-week-winner-week-10-281747,"['', 'videos', 'pepsi-rookie-of-the-week-winner-week-10-281747']"
https://www.nfl.com/videos/nfl-forward-kurt-warner-coaches-the-next-generation-of-football-players-281745,"['', 'videos', 'nfl-forward-kurt-warner-coaches-the-next-generation-of-football-players-281745']"
https://www.nfl.com/videos/kansas-city-chiefs-host-baby-shower-for-military-mothers-281741,"['', 'videos', 'kansas-city-chiefs-host-baby-shower-for-military-mothers-281741']"
https://www.nfl.com/videos/hall-of-fame-quarterback-roger-staubach-defensive-end-alan-page-receive-p-281740,"['', 'videos', 'hall-of-fame-quarterback-roger-staubach-defensive-end-alan-page-receive-p-281740']"
https://www.nfl.com/videos/nfl-network-insider-ian-rapoport-don-t-be-surprised-if-quarterback-robert-281739,"['', 'videos', 'nfl-network-insider-ian-rapoport-don-t-be-surprised-if-quarterback-robert-281739']"
https://www.nfl.com/videos/predicting-the-green-bay-packers-remaining-2018-schedule-281734,"['', 'videos', 'predicting-the-green-bay-packers-remaining-2018-schedule-281734']"
https://www.nfl.com/videos/sixty-shekonds-dave-dameshek-makes-his-week-11-bold-predictions-281730,"['', 'videos', 'sixty-shekonds-dave-dameshek-makes-his-week-11-bold-predictions-281730']"
https://www.nfl.com/videos/picking-winner-of-cowboys-falcons-in-week-11-gameday-pick-em-281729,"['', 'videos', 'picking-winner-of-cowboys-falcons-in-week-11-gameday-pick-em-281729']"
https://www.nfl.com/videos/picking-winner-of-vikings-bears-in-week-11-gameday-pick-em-281727,"['', 'videos', 'picking-winner-of-vikings-bears-in-week-11-gameday-pick-em-281727']"
https://www.nfl.com/videos/picking-winner-of-eagles-saints-in-week-11-gameday-pick-em-281725,"['', 'videos', 'picking-winner-of-eagles-saints-in-week-11-gameday-pick-em-281725']"
