URLs,Subdirectories
https://www.nfl.com/,"['', '']"
https://www.nfl.com/manifest.json,"['', 'manifest.json']"
https://www.nfl.com/sitemap-nfldrafttracker,"['', 'sitemap-nfldrafttracker']"
https://www.nfl.com/sitemap-nflprospects,"['', 'sitemap-nflprospects']"
https://www.nfl.com/sitemap-nflprospects-2021,"['', 'sitemap-nflprospects-2021']"
https://www.nfl.com/test-page,"['', 'test-page']"
https://www.nfl.com/_amp/_footer-amp,"['', '_amp', '_footer-amp']"
https://www.nfl.com/_amp/_header-amp,"['', '_amp', '_header-amp']"
https://www.nfl.com/_amp/action-related-links_amp,"['', '_amp', 'action-related-links_amp']"
https://www.nfl.com/_ctv/ctv-xbox-success,"['', '_ctv', 'ctv-xbox-success']"
https://www.nfl.com/_ctv/sign-in,"['', '_ctv', 'sign-in']"
https://www.nfl.com/_mobile-app/_privacy-language,"['', '_mobile-app', '_privacy-language']"
https://www.nfl.com/_mobile-app/_terms-translations,"['', '_mobile-app', '_terms-translations']"
https://www.nfl.com/_mobile-app/nfl-draft-today,"['', '_mobile-app', 'nfl-draft-today']"
https://www.nfl.com/_mobile-app/privacy,"['', '_mobile-app', 'privacy']"
https://www.nfl.com/_mobile-app/privacy-de,"['', '_mobile-app', 'privacy-de']"
https://www.nfl.com/_mobile-app/privacy-es,"['', '_mobile-app', 'privacy-es']"
https://www.nfl.com/_mobile-app/privacy-fr,"['', '_mobile-app', 'privacy-fr']"
https://www.nfl.com/_mobile-app/privacy-pt,"['', '_mobile-app', 'privacy-pt']"
https://www.nfl.com/_mobile-app/subscriptions_terms,"['', '_mobile-app', 'subscriptions_terms']"
https://www.nfl.com/_mobile-app/terms,"['', '_mobile-app', 'terms']"
https://www.nfl.com/_mobile-app/terms-de,"['', '_mobile-app', 'terms-de']"
https://www.nfl.com/_mobile-app/terms-es,"['', '_mobile-app', 'terms-es']"
https://www.nfl.com/_mobile-app/terms-fr,"['', '_mobile-app', 'terms-fr']"
https://www.nfl.com/_mobile-app/terms-pt,"['', '_mobile-app', 'terms-pt']"
https://www.nfl.com/_mobile-app/tie-breaking-procedures,"['', '_mobile-app', 'tie-breaking-procedures']"
https://www.nfl.com/_mundo/_footer-mundo,"['', '_mundo', '_footer-mundo']"
https://www.nfl.com/_mundo/_header-mundo,"['', '_mundo', '_header-mundo']"
https://www.nfl.com/_nfl-films/_footer-nfl-films,"['', '_nfl-films', '_footer-nfl-films']"
https://www.nfl.com/_nfl-films/_header-nfl-films,"['', '_nfl-films', '_header-nfl-films']"
https://www.nfl.com/_phs/_footer-phs,"['', '_phs', '_footer-phs']"
https://www.nfl.com/_phs/_header-phs,"['', '_phs', '_header-phs']"
https://www.nfl.com/activate/,"['', 'activate', '']"
https://www.nfl.com/apps/,"['', 'apps', '']"
https://www.nfl.com/apps/_footer_apps-ctv,"['', 'apps', '_footer_apps-ctv']"
https://www.nfl.com/apps/_second-level-menu,"['', 'apps', '_second-level-menu']"
https://www.nfl.com/apps/ctv,"['', 'apps', 'ctv']"
https://www.nfl.com/apps/partner-apps,"['', 'apps', 'partner-apps']"
https://www.nfl.com/author/,"['', 'author', '']"
https://www.nfl.com/careers/,"['', 'careers', '']"
https://www.nfl.com/careers/benefits,"['', 'careers', 'benefits']"
https://www.nfl.com/careers/careers_clubs-employment,"['', 'careers', 'careers_clubs-employment']"
https://www.nfl.com/careers/careers_sections,"['', 'careers', 'careers_sections']"
https://www.nfl.com/careers/clubs,"['', 'careers', 'clubs']"
https://www.nfl.com/careers/diversity,"['', 'careers', 'diversity']"
https://www.nfl.com/careers/early-career-programs,"['', 'careers', 'early-career-programs']"
https://www.nfl.com/careers/who-we-are,"['', 'careers', 'who-we-are']"
https://www.nfl.com/careers/who-you-are,"['', 'careers', 'who-you-are']"
https://www.nfl.com/causes/salute-menu,"['', 'causes', 'salute-menu']"
https://www.nfl.com/combine/,"['', 'combine', '']"
https://www.nfl.com/combine/_nav2-combine,"['', 'combine', '_nav2-combine']"
https://www.nfl.com/community/,"['', 'community', '']"
https://www.nfl.com/community/_header_community,"['', 'community', '_header_community']"
https://www.nfl.com/community/nav2-community,"['', 'community', 'nav2-community']"
https://www.nfl.com/de/,"['', 'de', '']"
https://www.nfl.com/de/frankfurt-games,"['', 'de', 'frankfurt-games']"
https://www.nfl.com/draft/,"['', 'draft', '']"
https://www.nfl.com/draft/_second-level-menu_draft,"['', 'draft', '_second-level-menu_draft']"
https://www.nfl.com/draft/pro-days,"['', 'draft', 'pro-days']"
https://www.nfl.com/draft/ticket-terms,"['', 'draft', 'ticket-terms']"
https://www.nfl.com/draft/ways-to-watch-menu,"['', 'draft', 'ways-to-watch-menu']"
https://www.nfl.com/fantasy-football/draft-kit,"['', 'fantasy-football', 'draft-kit']"
https://www.nfl.com/fantasy-football/draftkit-menu,"['', 'fantasy-football', 'draftkit-menu']"
https://www.nfl.com/fantasy-football/fantasy-app,"['', 'fantasy-football', 'fantasy-app']"
https://www.nfl.com/fantasy-football/fantasy-menu,"['', 'fantasy-football', 'fantasy-menu']"
https://www.nfl.com/fantasy-football/free-fantasy-football-leagues,"['', 'fantasy-football', 'free-fantasy-football-leagues']"
https://www.nfl.com/fantasy-football/sweepstakes,"['', 'fantasy-football', 'sweepstakes']"
